Genotype,File,Batch,Replicate,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,Solar.month,Solar.day,Lunar.cycle,Lunar.day,Hour,Minute
B73,S2_B73-1July_B6_B5_B1_A5_A4_A3_A1.csv,S2,B6,1.652181098,2.985167408,4.109253307,3.999531889,4.197259624,5.026043075,6.818197762,8.997156257,12.47157233,15.18280861,18.15703253,21.99584976,25.53271822,28.99739401,34.1712029,37.73671926,42.4659129,46.82955947,51.87158807,56.1555935,60.55017979,65.01925059,68.26792129,70.87487926,72.74272167,72.77709914,72.5020794,71.97495822,71.18427647,70.55975247,70.14149328,69.80917776,69.37372983,67.50588742,65.87868728,66.4459155,65.5119943,63.32329552,62.8076335,63.23735185,63.59258568,62.25759402,61.22626999,62.36072642,61.48983057,60.54445021,58.90006134,58.56201624,59.50166702,58.35002186,55.8948977,57.46193727,56.6443265,56.11605941,55.40960245,58.10365,59.91992621,60.04024735,61.60442213,62.48677714,65.80420277,S7,S1,L7,L5,13,0
B73,S2_B73-1July_B6_B5_B1_A5_A4_A3_A1.csv,S2,B5,2.626152054,1.762590065,2.807149421,2.830697987,3.70818285,4.756065362,5.876255147,6.658915495,8.078131954,10.96182854,11.82756776,15.05274719,18.23667366,20.7422181,23.66143807,25.11044833,30.84231811,31.631281,36.70596819,39.13530924,41.89868468,45.1336044,46.57974987,49.24343066,50.59790289,51.21211364,53.92621472,55.9573501,57.35880487,60.90541362,60.91687278,61.73047285,60.58455726,62.3148898,61.70182496,62.44094051,61.65598833,63.08265324,62.60709827,62.51542503,62.07424752,61.86225314,61.99403343,61.38096859,60.1834868,59.86263044,59.0662191,57.78852322,55.60669993,54.30837757,53.07995606,52.00050357,51.06830124,50.60535134,49.74304986,49.76596817,48.08548296,47.76462659,47.38131783,47.21344119,47.53257868,S7,S1,L7,L5,13,0
B73,S2_B73-1July_B6_B5_B1_A5_A4_A3_A1.csv,S2,B1,-8.443679027,-8.303877325,-9.966027889,-10.40777835,-10.45533385,-10.15796875,-10.42496708,-8.419041842,-6.326027016,-3.61994735,1.050288934,5.776560491,9.78898393,16.3029411,19.55676842,24.49738349,29.92673156,34.90229705,37.88798012,39.92885578,44.92275593,47.33834599,50.98293053,51.47452831,53.79729922,57.63955419,58.6766078,64.27440546,63.33475467,62.93368422,64.10251812,63.27745889,61.20335168,60.859577,58.60212329,56.72740538,55.96479855,53.59848286,55.52935063,57.21441951,55.61644022,54.29519954,56.41342451,56.95716146,57.01560315,57.72549786,54.68080014,53.03526535,53.36758087,51.21727026,50.98350348,51.8629937,51.4951548,51.48942522,50.08224087,51.24305337,49.73617436,50.05244707,50.09599186,50.3303316,49.45771688,S7,S1,L7,L5,13,0
B73,S2_B73-1July_B6_B5_B1_A5_A4_A3_A1.csv,S2,A5,2.258542333,2.596243657,1.601417037,1.993663944,1.42339905,2.085108008,1.290243659,2.239749317,4.073901811,5.007937608,7.771599533,10.84723698,13.17631041,15.64633147,18.14328154,20.78175219,24.61082913,27.15590766,30.87554966,33.43094143,36.94661046,40.92179164,42.7930718,43.79001837,45.65786078,46.32478365,48.25335959,50.44893386,50.92162404,53.80761246,53.59905582,54.39775899,54.58969985,55.41991569,53.82881189,54.95467396,55.69378952,53.55207328,53.43518989,55.29042723,53.88095105,55.13916637,54.99993763,52.61872503,53.3481003,54.26597869,52.63534081,52.4657453,52.87942083,50.24095018,49.55225491,49.85076592,49.4817811,48.99247515,49.56944365,49.95676312,49.48693772,50.3194454,52.21020612,53.36815383,52.36834247,S7,S1,L7,L5,13,0
B73,S2_B73-1July_B6_B5_B1_A5_A4_A3_A1.csv,S2,A4,-13.20323943,-12.66408615,-12.77237517,-12.9253549,-12.10201455,-11.24544265,-11.17038517,-11.50499253,-10.70399753,-7.060558909,-4.629670872,-1.249678247,1.174105114,2.731748176,5.879119936,9.00403175,12.0876906,14.85622267,17.07700708,22.06116694,22.10643061,24.96262522,27.66870488,29.46836532,30.55297443,34.17349473,36.28484421,35.4976002,38.84539259,39.88531099,40.64906373,44.17905671,42.5025822,42.54669995,42.68420982,42.94318675,42.15594273,41.46839338,42.7999473,41.56579621,39.99875664,41.04153982,40.16262257,41.35494774,40.10933749,40.51040795,38.55318412,39.76556281,38.66376497,36.77758791,37.95329731,38.12060098,38.595583,36.41146788,35.55604189,36.44126169,35.64542331,38.70788272,36.98843638,37.15631301,35.86887685,S7,S1,L7,L5,13,0
B73,S2_B73-1July_B6_B5_B1_A5_A4_A3_A1.csv,S2,A3,-3.106061503,-2.303061153,-0.858061594,-1.135831533,-0.438593463,-0.671506536,-0.277179793,2.062877246,3.982629634,5.865368949,7.626641211,8.688332005,11.32737561,14.21737473,14.36748967,17.39499866,19.94637972,23.26437831,26.37496618,29.90381324,34.03082824,37.87938575,40.78370882,45.18803539,49.62903126,51.07574969,53.98866712,54.85440635,57.72549786,57.09982795,58.44742468,56.36987972,56.0891304,55.01196974,54.08778882,52.87082646,51.38285507,53.13152226,52.88572336,52.67143715,51.93117568,51.60000607,52.30187937,53.92163106,52.87770195,53.97434317,55.46116865,55.86338503,54.04424403,54.62407731,54.12388516,51.69511707,51.57937959,50.32803977,50.08338679,47.6179494,45.91454587,44.42886631,45.7105729,44.90614015,43.76595414,S7,S1,L7,L5,13,0
B73,S2_B73-1July_B6_B5_B1_A5_A4_A3_A1.csv,S2,A1,0.422252706,1.120075194,0.801166885,0.072055172,0.807297533,-0.242636167,1.038371412,3.491031846,6.081374038,7.903952784,12.20514695,14.94675,17.86425109,22.1648723,25.2112889,29.62134505,35.80126783,39.25734925,41.61449762,44.35151701,48.41035003,51.35134239,55.22396413,57.94322182,61.57577424,63.88479416,64.41764491,66.92720005,65.51772387,66.80687891,66.1078704,64.97341397,62.05132921,61.63307002,60.10327271,59.07194868,58.47607257,57.62809503,56.94054568,57.40464149,57.21441951,56.05074222,55.62102388,56.34524253,57.05341837,56.43978057,56.52114057,54.85899001,54.54615505,53.73828456,53.3589865,51.68537678,52.3815205,51.11070011,50.26730624,50.89927869,49.23369038,48.37998326,49.06524079,48.69396413,49.67143013,S7,S1,L7,L5,13,0
B73,S2_B73-2Sep_B6_B3_B2_A6_A5_A3_A1.csv,S2,B6,-1.23850557,-3.823347367,-3.748690966,-4.639296563,-3.785990519,-6.364415188,-6.736837755,-6.303108704,-5.782290068,-3.968592168,-0.450086996,2.131231111,6.958572422,9.216599092,11.06266911,14.22539614,18.63316046,21.86865312,24.26991924,28.06003506,31.6759717,34.21188291,35.20252693,39.56789237,41.26671224,43.1053338,44.06962177,46.5671448,46.77512848,49.48464589,49.37120025,52.26692895,51.68709566,54.57308407,55.30245934,56.01407293,56.17278223,54.82575846,55.82499685,55.44455288,55.08931904,54.03564966,52.98312619,51.61604889,51.71402467,52.08988499,49.89545663,49.632469,47.70733081,46.51787043,46.28696844,44.55377111,43.36201889,42.94605153,42.03103794,41.28905759,41.4844362,40.55509865,39.73347718,41.19623843,40.95445024,S9,S2,L9,L8,13,0
B73,S2_B73-2Sep_B6_B3_B2_A6_A5_A3_A1.csv,S2,B3,5.199993061,4.843154946,6.029807836,6.24695884,6.52770816,6.204559963,7.623776422,7.788788267,10.81171359,12.15873737,14.5789111,17.61902516,19.77735717,22.68569094,24.30945333,26.55430197,29.37783799,32.73708954,35.55546893,38.82934978,41.51881367,45.48597344,48.62979286,52.8078011,55.3654847,60.24651216,62.20602782,64.73277169,66.91574089,70.21024822,71.17854689,72.14684556,73.63653583,73.7740457,74.44440632,74.4501359,74.14646827,75.60178107,76.23203464,75.75647967,76.66175299,76.40392198,76.52424312,75.59032191,75.9054487,75.22362892,75.36113879,74.36992181,72.62240053,72.90314985,69.73469325,68.81796077,66.22246196,64.9390365,64.14262516,61.12313758,59.07194868,58.61931202,57.51350348,57.64528377,56.65292087,S9,S2,L9,L8,13,0
B73,S2_B73-2Sep_B6_B3_B2_A6_A5_A3_A1.csv,S2,B2,0.04943308,0.633175659,1.778919362,1.38036992,2.657378254,2.567251993,2.164863733,2.713298935,4.990175917,5.488591903,6.312848987,8.833863285,11.62187592,13.15682985,14.80007281,17.18930681,18.80275596,21.23782659,23.88947527,25.88222248,27.81022546,31.3854821,33.33869523,35.17788975,37.62155474,39.36449236,42.78275856,45.00010523,47.6219601,50.33319639,53.53201976,56.18194956,57.33588656,61.20335168,62.16592077,61.47837142,63.5352899,64.53223647,64.38899702,64.56661393,66.31986479,67.10481697,68.90390444,69.9294989,71.0467666,71.61972439,70.77174685,72.08954978,72.23278923,72.4218653,72.05517232,71.65983144,70.5769412,69.02422558,68.43980863,66.28548732,64.84163367,62.03987006,60.29234878,59.36988673,56.52171353,S9,S2,L9,L8,13,0
